Time,Experiment,Lactate,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.89,,,,,,,,,,,,,,,,,,,,,
4,Saline,0.798918,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.757269,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.374091,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.433158,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.7,,,,,,,,,,,,,,,,,,,,,
4,Saline,0.865558,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.78453,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.795132,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.686085,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.858373,,,,,,,,,,,,,,,,,,,,,
4,Saline,0.91781,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.914023,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.814821,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.717891,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.774482,,,,,,,,,,,,,,,,,,,,,
2,Saline,0.898121,,,,,,,,,,,,,,,,,,,,,
4,Saline,1.002624,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.843597,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.812549,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.791346,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.74,,,,,,,,,,,,,,,,,,,,,
2,Saline,0.940924,,,,,,,,,,,,,,,,,,,,,
4,Saline,0.756883,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.656098,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.656476,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.641255,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.91,,,,,,,,,,,,,,,,,,,,,
2,Saline,0.88973,,,,,,,,,,,,,,,,,,,,,
4,Saline,0.846975,,,,,,,,,,,,,,,,,,,,,
8,Saline,0.982102,,,,,,,,,,,,,,,,,,,,,
15,Saline,0.934621,,,,,,,,,,,,,,,,,,,,,
30,Saline,0.576509,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.8,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.7698,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.6106,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.7196,,,,,,,,,,,,,,,,,,,,,
0,Saline,0.5571,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.89,,,,,,,,,,,,,,,,,,,,,
4,Insulin,1.579662,,,,,,,,,,,,,,,,,,,,,
8,Insulin,0.846626,,,,,,,,,,,,,,,,,,,,,
15,Insulin,0.731522,,,,,,,,,,,,,,,,,,,,,
30,Insulin,0.389236,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.858373,,,,,,,,,,,,,,,,,,,,,
2,Insulin,1.367627,,,,,,,,,,,,,,,,,,,,,
4,Insulin,1.707641,,,,,,,,,,,,,,,,,,,,,
15,Insulin,0.598999,,,,,,,,,,,,,,,,,,,,,
30,Insulin,0.502069,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.774482,,,,,,,,,,,,,,,,,,,,,
2,Insulin,1.534226,,,,,,,,,,,,,,,,,,,,,
4,Insulin,1.699311,,,,,,,,,,,,,,,,,,,,,
8,Insulin,0.802705,,,,,,,,,,,,,,,,,,,,,
15,Insulin,0.780744,,,,,,,,,,,,,,,,,,,,,
30,Insulin,1.149534,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.74,,,,,,,,,,,,,,,,,,,,,
2,Insulin,1.560731,,,,,,,,,,,,,,,,,,,,,
4,Insulin,1.351725,,,,,,,,,,,,,,,,,,,,,
8,Insulin,0.76257,,,,,,,,,,,,,,,,,,,,,
15,Insulin,0.578553,,,,,,,,,,,,,,,,,,,,,
30,Insulin,0.535389,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.91,,,,,,,,,,,,,,,,,,,,,
2,Insulin,1.365355,,,,,,,,,,,,,,,,,,,,,
4,Insulin,1.771251,,,,,,,,,,,,,,,,,,,,,
8,Insulin,1.042002,,,,,,,,,,,,,,,,,,,,,
15,Insulin,0.976877,,,,,,,,,,,,,,,,,,,,,
30,Insulin,0.731522,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.8,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.7698,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.7196,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.5571,,,,,,,,,,,,,,,,,,,,,
0,Insulin,0.6106,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
